catalogNumber,country,stateProvince,decimalLatitude,decimalLongitude,IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Regions),"IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Subregions), contextual (polygon)",Precipitation - annual (Bio12),Precipitation - seasonality (Bio15),WorldClim 2.1: Precipitation - annual,WorldClim 2.1: Precipitation - seasonality,Radiation - annual mean (Bio20),Radiation - seasonality (Bio23),Temperature - annual mean (Bio01),Temperature - annual range (Bio07),WorldClim 2.1: Temperature - annual mean,WorldClim 2.1: Temperature - annual range,Moisture Index - annual mean (Bio28),Forests of Australia 2018B,National Dynamic Land Cover,Vegetation types - present,NVIS 4.1 Major Vegetation Groups,NVIS 4.1 Major Vegetation Subgroups,Vegetation types - native
102.100.100/139661,Australia,Queensland,-17.52448,146.02815,Wet Tropics,Innisfail,3469,69,3935,79.76175,17.8,19,24,15.5,24,14.799999,0.93,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Rainforests and vine thickets
102.100.100/139658,Australia,Queensland,-17.52448,146.02815,Wet Tropics,Innisfail,3469,69,3935,79.76175,17.8,19,24,15.5,24,14.799999,0.93,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Rainforests and vine thickets
102.100.100/401580,Australia,New South Wales,-33.7498,151.05623,Sydney Basin,Cumberland,1074,31,1154,29.407955,16.5,34,17.1,22.2,17.008333,21.3,0.8,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus tall open forest,Eucalypt Tall Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",Eucalypt tall open forests
102.100.100/401646,Australia,New South Wales,-30.362,152.79378,NSW North Coast,Chaelundi,1623,48,1969,47.60158,16.5,27,15.6,23.5,15.275,18.800001,0.93,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/139637,Australia,Queensland,-18.65067,146.15472,Wet Tropics,Herbert,1884,92,2573,118.294945,18.8,18,24.3,18.2,24.091667,19.2,0.72,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/8521,Australia,Northern Territory,-12.67631,132.81381,Pine Creek,Pine Creek,1459,113,1518,113.988266,21.2,10,28.2,19.7,28.0375,19.2,0.49,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tropical eucalypt woodlands/grasslands,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Tropical eucalypt woodlands/grasslands
102.100.100/139650,Australia,Queensland,-17.52448,146.02815,Wet Tropics,Innisfail,3469,69,3935,79.76175,17.8,19,24,15.5,24,14.799999,0.93,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Rainforests and vine thickets
102.100.100/15951,Australia,Tasmania,-42.28444,147.40152,Tasmanian South East,South East,538,14,589,15.145503,14.1,47,9.8,21,10.020833,21.4,0.65,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings",Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/8130,Australia,Western Australia,-33.688361,119.761694,Esperance Plains,Fitzgerald,408,27,424,26.77036,17.7,37,16.1,22.1,15.895833,22,0.32,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings",Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/9569,Australia,Tasmania,-41.533383,145.895516,Tasmanian Central Highlands,Central Highlands,2112,33,2354,33.78424,11.5,54,7.5,17.5,7.5958333,17.4,1,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands","Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns","Other grasslands,herblands, sedgelands and rushlands"
102.100.100/12517,Australia,New South Wales,-30.201682,149.597005,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/12529,Australia,New South Wales,-30.200981,149.597383,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/12485,Australia,New South Wales,-29.035917,141.352819,Simpson Strzelecki Dunefields,Strzelecki Desert,198,39,191,39.16742,21,30,21.3,31.4,21.320833,31.5,0.08,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse Chenopods,Acacia open woodlands,Acacia Open Woodlands,Mulga (Acacia aneura) woodlands and shrublands +/- tussock grass +/- forbs,Acacia open woodlands
102.100.100/12824,Australia,Queensland,-17.121083,145.630883,Wet Tropics,Bellenden Ker-Lamb,1680,82,2464,78.27685,18.9,18,21,17,20.408333,14.9,0.78,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/8527,Australia,Northern Territory,-12.43375,132.941958,Darwin Coastal,Darwin Coastal,1478,115,1529,115.37722,21.2,11,28.2,19,27.941668,17.199999,0.49,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/12450,Australia,New South Wales,-30.201162,149.597435,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/19503,Australia,New South Wales,-33.60885,150.72258,Sydney Basin,Cumberland,817,37,850,33.34117,17.1,33,17.7,26.2,17.279167,25.199999,0.58,Eucalypt Medium Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/8493,Australia,Northern Territory,-12.92929,132.59483,Pine Creek,Pine Creek,1395,112,1454,110.698265,21.2,10,28.2,20.8,27.858334,19.499998,0.48,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings",Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,Tropical eucalypt woodlands/grasslands
102.100.100/15879,Australia,Queensland,-13.77007,141.89049,Cape York Peninsula,Northern Holroyd Plain,1550,131,1505,125.35004,19.9,16,26.8,18.3,26.325,17,0.46,Melaleuca,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/12874,,,,,,,,,,,,,,,,,,,,,,,
102.100.100/139596,Australia,Western Australia,-31.007898,117.40462,Avon Wheatbelt,Merredin,303,51,311,49.8306,19.7,34,18.6,29.1,18.6,27.9,0.23,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/12568,Australia,Australian Capital Territory,-35.874867,149.01088,South Eastern Highlands,Murrumbateman,662,16,696,15.965281,16.6,38,9.5,26.3,9.604167,26.5,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/12509,Australia,New South Wales,-30.201197,149.596931,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/8138,Australia,New South Wales,-30.20071,149.597527,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/7861,Australia,Australian Capital Territory,-35.173634,150.594324,Sydney Basin,Jervis,1166,21,1191,24.504513,15.8,38,17,17.4,16.645834,16.5,0.74,Mangrove,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",Eucalypt open forests
102.100.100/7839,Australia,Australian Capital Territory,-35.128049,150.658375,Sydney Basin,Jervis,1191,20,1209,22.93463,15.8,38,17,17,16.454166,16.199999,0.75,Other native forest,Primarily Non-Vegetated Waterbodies Water,,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,
102.100.100/7081,Australia,Western Australia,-30.4051,121.062283,Coolgardie,Eastern Goldfield,280,28,287,37.588814,19.9,33,18.9,30.1,18.654167,29.500002,0.16,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Low closed forest and tall closed shrubland,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",Low closed forests and closed shrublands
102.100.100/7063,Australia,Western Australia,-17.507017,123.7349,Dampierland,Fitzroy Trough,711,139,628,138.06032,22.2,15,28.2,24.4,27.887499,24.199999,0.28,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Acacia shrublands,Acacia Shrublands,Other Acacia tall open shrublands and shrublands,Acacia shrublands
102.100.100/401640,Australia,New South Wales,-30.6341,153.0019,NSW North Coast,Coffs Coast and Escarpment,1436,47,1516,44.321102,16.8,28,18.8,20.9,19.070833,16.9,0.83,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),Eucalypt tall open forests
102.100.100/12586,Australia,Victoria,-34.42796,142.27515,Murray Darling Depression,Murray Mallee,281,24,317,15.742643,18.3,39,17.1,29,17.104166,28.2,0.22,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/8511,Australia,Northern Territory,-13.518304,132.445246,Arnhem Plateau,Alligator,1302,112,1369,107.56276,21.3,10,27.7,22.1,27.241667,19.7,0.48,Eucalypt Low Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Tropical eucalypt woodlands/grasslands,Eucalypt Low Open Forests,Eucalyptus open forests with a grassy understorey,Tropical eucalypt woodlands/grasslands
102.100.100/12426,Australia,Tasmania,-42.106246,148.340808,Tasmanian South East,South East,700,16.333334,717,18.304874,13.7,46,12.833333,16.766666,12.791667,15.700001,0.72,,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/7841,Australia,Australian Capital Territory,-35.139253,150.68313,Sydney Basin,Jervis,1234,20,1218,22.760637,15.8,38,16.9,16.6,16.520834,16.099998,0.77,Other native forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,,Heathlands,Heathlands,
102.100.100/401668,Australia,New South Wales,-31.5616,146.50365,Cobar Peneplain,Canbelego Downs,434,20,414,28.78958,18.9,34,18.5,30.5,18.308332,28.8,0.25,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus open woodlands,Eucalypt Open Woodlands,Eucalyptus open woodlands with a grassy understorey,Eucalypt open woodlands
102.100.100/15881,Australia,Queensland,-13.60245,141.68107,Cape York Peninsula,Weipa Plateau,1662,132,1583,128.16432,19.9,17,27,18,26.341667,16.800001,0.47,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open woodlands,"Inland aquatic - freshwater, salt lakes, lagoons","Freshwater, dams, lakes, lagoons or aquatic plants",Eucalypt open woodlands
102.100.100/139605,Australia,Western Australia,-31.007898,117.40462,Avon Wheatbelt,Merredin,303,51,311,49.8306,19.7,34,18.6,29.1,18.6,27.9,0.23,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/7081,Australia,Western Australia,-30.4051,121.062283,Coolgardie,Eastern Goldfield,280,28,287,37.588814,19.9,33,18.9,30.1,18.654167,29.500002,0.16,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Low closed forest and tall closed shrubland,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",Low closed forests and closed shrublands
102.100.100/401579,Australia,New South Wales,-33.65373,150.74562,Sydney Basin,Cumberland,815,37,848,33.256775,17.1,33,17.7,26,17.295834,24.6,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",Eucalypt woodlands
102.100.100/12899,Australia,South Australia,-34.098,140.351526,Murray Darling Depression,South Olary Plain,256,29,273,23.894337,18.5,38,17,28.6,17.1875,28.500002,0.19,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Open Tussock Grasses,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/139647,Australia,Queensland,-17.52448,146.02815,Wet Tropics,Innisfail,3469,69,3935,79.76175,17.8,19,24,15.5,24,14.799999,0.93,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Rainforests and vine thickets
102.100.100/13266,Australia,Tasmania,-39.93582,144.11945,King,King,925,38,1068,38.053066,14,51,13.3,13.1,13.283334,12.200001,0.76,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),Eucalypt woodlands
102.100.100/12511,Australia,New South Wales,-30.200924,149.596977,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/12816,Australia,Queensland,-16.103417,145.447883,Wet Tropics,Daintree-Bloomfield,3135,81,3613,68.53576,18.2,18,24.6,13.6,24.075,12.800001,0.83,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/401572,Australia,New South Wales,-33.6547,150.74571,Sydney Basin,Cumberland,815,37,848,33.256775,17.1,33,17.7,26,17.295834,24.6,0.58,Other native forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/12574,Australia,Australian Capital Territory,-35.8811,149.0083,South Eastern Highlands,Murrumbateman,641,17,723,14.555106,16.7,38,9.8,26.7,9.354167,26.1,0.61,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Tussock grasslands
102.100.100/9576,Australia,Tasmania,-42.0436,146.3034,Tasmanian Central Highlands,Central Highlands,1395,24,1433,24.19721,12.1,52,6.6,18.9,6.5916667,18.9,0.99,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"Other grasslands, herblands, sedgelands and rushlands","Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns","Other grasslands,herblands, sedgelands and rushlands"
